,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
7922,2018 Skoda Rapid 1.5 TDI AT Style BSIV,8160,2018,1498,Third Party,100000,Second Owner,Diesel,5,2172,Sedan,Hyderabad,1,0
7923,2017 Hyundai Xcent 1.2 CRDi E Plus,4680,2017,1186,Third Party,120000,Second Owner,Diesel,5,254,Sedan,Hyderabad,0,1
7924,2022 Kia Sonet HTK Plus BSVI,12600,2022,1197,Third Party,10000,First Owner,Petrol,5,184,SUV,Hyderabad,0,1
7925,2014 Volkswagen Polo 1.5 TDI Comfortline,5040,2014,1498,Third Party,110000,Second Owner,Diesel,5,2014,Hatchback,Hyderabad,0,1
7926,2014 Maruti Wagon R VXI BS IV,3840,2014,998,Third Party,50000,Second Owner,Petrol,5,2051,Hatchback,Hyderabad,0,1
7927,2019 Tata Tiago XZ Plus,6708,2019,1199,Zero Dep,69049,First Owner,Petrol,5,2384,Hatchback,Hyderabad,0,1
7928,2019 Renault KWID 1.0 RXT Opt,5028,2019,999,Comprehensive,37465,First Owner,Petrol,5,2174,Hatchback,Hyderabad,0,1
7929,2019 Toyota Glanza V,8580,2019,1197,Comprehensive,90148,First Owner,Petrol,5,2235,Hatchback,Hyderabad,0,1
7930,2018 Volkswagen Polo 1.0 MPI Comfortline,7392,2018,999,Zero Dep,56919,First Owner,Petrol,5,1878,Hatchback,Hyderabad,0,1
7931,2015 Honda Amaze S i-Vtech,5496,2015,1198,Third Party,74385,First Owner,Petrol,5,18,Sedan,Hyderabad,0,1
7932,2018 Hyundai EON Sportz,4140,2018,814,Zero Dep,81319,First Owner,Petrol,5,211,Hatchback,Hyderabad,0,1
7933,2019 Maruti Baleno 1.2 Delta,7992,2019,1197,Comprehensive,71110,First Owner,Petrol,5,214,Hatchback,Hyderabad,0,1
7934,2017 Maruti Wagon R VXI BS IV,5040,2018,998,Comprehensive,59084,Second Owner,Petrol,5,2051,Hatchback,Hyderabad,0,1
7935,2012 Hyundai i10 Magna,3876,2012,1197,Comprehensive,57785,First Owner,Petrol,5,2036,Hatchback,Hyderabad,0,1
7936,2016 Maruti Swift ZXI,7296,2017,1197,Third Party,58671,First Owner,Petrol,5,2238,Hatchback,Hyderabad,0,1
7937,2014 Hyundai EON D Lite Plus,3192,2014,814,Comprehensive,64538,Second Owner,Petrol,5,211,Hatchback,Hyderabad,0,1
7938,2021 Datsun RediGO 1.0 T Option,5736,2021,999,Third Party,28292,First Owner,Petrol,5,217,Hatchback,Hyderabad,0,1
