,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
0,2017 Maruti Baleno 1.2 Alpha,6540,2017,1197,Third Party,40000,First Owner,Petrol,5,214,Hatchback,Agra,0,1
1,2018 Tata Hexa XTA,12000,2018,2179,Third Party,70000,First Owner,Diesel,7,176,MUV,Agra,1,0
2,2015 Maruti Swift Dzire VXI,5400,2015,1197,Third Party,70000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
3,2015 Maruti Swift Dzire VXI,5400,2015,1197,Third Party,70000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
4,2009 Hyundai i10 Magna 1.1,1920,2009,1086,Third Party,80000,First Owner,Petrol,5,1981,Hatchback,Agra,0,1
5,2015 Hyundai i20 Active 1.2,5640,2015,1197,Third Party,70000,First Owner,Petrol,5,1719,Hatchback,Agra,0,1
6,2017 Tata Tiago 1.05 Revotorq XZ,4320,2017,1047,Third Party,120000,First Owner,Diesel,5,2728,Hatchback,Agra,0,1
7,2010 Hyundai i10 Magna 1.1,2400,2010,1086,Third Party,60000,Second Owner,Petrol,5,1981,Hatchback,Agra,0,1
10,2014 Honda Amaze E i-Vtech,3959,2014,1198,Third Party,70000,First Owner,Petrol,5,18,Sedan,Agra,0,1
11,2018 Hyundai Xcent 1.2 VTVT SX,5700,2018,1197,Third Party,60000,Second Owner,Petrol,5,2014,Sedan,Agra,0,1
12,2020 Maruti Ciaz Sigma BSIV,8232,2020,1462,Third Party,50000,Third Owner,Petrol,5,2156,Sedan,Agra,0,1
13,2021 Hyundai Venue SX Opt Executive Diesel,15000,2021,1493,Third Party,60000,First Owner,Diesel,5,237,SUV,Agra,0,1
14,2021 Hyundai Venue SX Dual Tone Diesel BSIV,13200,2021,1396,Third Party,60000,First Owner,Diesel,5,237,SUV,Agra,0,1
15,2019 Maruti Alto K10 VXI AGS Optional,4740,2019,998,Third Party,20000,First Owner,Petrol,5,2395,Hatchback,Agra,1,0
16,2016 Maruti Wagon R LXI CNG,4200,2016,998,Third Party,40000,First Owner,CNG,5,266,Hatchback,Agra,0,1
17,2011 Toyota Etios VX,3468,2011,1496,Third Party,50000,Second Owner,Petrol,5,176,Sedan,Agra,0,1
18,2011 Toyota Corolla Altis Diesel D4DGL,3384,2011,1364,Third Party,150000,First Owner,Diesel,5,2143,Sedan,Agra,0,1
19,2021 Kia Sonet HTX Plus Turbo iMT BSVI,12000,2021,998,Third Party,10000,First Owner,Petrol,5,182,SUV,Agra,0,1
20,2020 Maruti Ciaz Alpha BSVI,9420,2020,1462,Third Party,30000,Second Owner,Petrol,5,2065,Sedan,Agra,0,1
21,2014 Ford Ecosport 1.5 DV5 MT Ambiente,3600,2014,1498,Third Party,150000,Third Owner,Diesel,5,227,SUV,Agra,0,1
22,2011 Mitsubishi Outlander 2.4,4764,2011,2360,Third Party,80000,Second Owner,Petrol,5,113,SUV,Agra,1,0
23,2015 Maruti Swift Dzire VDI,4500,2015,1248,Third Party,20000,First Owner,Diesel,5,2659,Sedan,Agra,0,1
24,2011 Maruti Alto K10 LXI,1200,2011,998,Third Party,120000,Third Owner,Petrol,5,2092,Hatchback,Agra,0,1
25,2011 Mitsubishi Outlander 2.4,4764,2011,2360,Third Party,80000,Second Owner,Petrol,5,113,SUV,Agra,1,0
26,2021 Maruti Baleno Zeta,8100,2021,1197,Third Party,40000,First Owner,Petrol,5,2101,Hatchback,Agra,0,1
27,2018 Hyundai Xcent 1.2 VTVT SX,5580,2018,1197,Third Party,60000,Second Owner,Petrol,5,2014,Sedan,Agra,0,1
28,2015 Maruti Swift Dzire VXI,5760,2015,1197,Third Party,80000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
29,2014 Maruti Alto 800 LXI,2700,2014,796,Third Party,100000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
30,2016 Maruti Wagon R VXI Optional,3840,2016,998,Third Party,70000,Second Owner,Petrol,5,2051,Hatchback,Agra,0,1
31,2015 Hyundai Grand i10 Sportz,4980,2015,1197,Third Party,30000,First Owner,Petrol,5,189,Hatchback,Agra,0,1
32,2012 Maruti Swift VDI,2880,2012,1248,Third Party,120000,Third Owner,Diesel,5,229,Hatchback,Agra,0,1
33,2013 Mahindra XUV500 W6 2WD,4200,2013,2179,Third Party,100000,Third Owner,Diesel,7,151,SUV,Agra,0,1
34,2013 Mahindra XUV500 W6 2WD,4200,2013,2179,Third Party,100000,Third Owner,Diesel,7,151,SUV,Agra,0,1
35,2013 Tata New Safari DICOR 2.2 EX 4x2,3552,2013,2179,Third Party,90000,Second Owner,Diesel,7,1157,SUV,Agra,0,1
36,2013 Tata New Safari DICOR 2.2 EX 4x2,3552,2013,2179,Third Party,90000,Second Owner,Diesel,7,1157,SUV,Agra,0,1
37,2018 Tata Tiago 1.2 Revotron XE,3792,2018,1199,Third Party,100000,First Owner,Petrol,5,2384,Hatchback,Agra,0,1
38,2017 Maruti Vitara Brezza ZDi Plus Dual Tone,9000,2017,1248,Third Party,100000,Second Owner,Diesel,5,243,SUV,Agra,0,1
39,2019 Maruti Ertiga VDI,10800,2019,1248,Third Party,120000,First Owner,Diesel,7,2547,MUV,Agra,0,1
40,2022 Maruti Celerio VXI BSVI,6720,2022,998,Third Party,10000,First Owner,Petrol,5,2524,Hatchback,Agra,0,1
41,2017 Maruti Vitara Brezza ZDi Plus,9600,2017,1248,Third Party,150000,First Owner,Diesel,5,243,SUV,Agra,0,1
42,2017 Hyundai Creta 1.4 E Plus,10800,2017,1396,Third Party,120000,Second Owner,Diesel,5,221,SUV,Agra,0,1
43,2019 Maruti Alto 800 LXI,3360,2019,796,Third Party,80000,First Owner,Petrol,5,2205,Hatchback,Agra,0,1
46,2011 Tata Manza Aqua Quadrajet,1800,2011,1248,Third Party,150000,First Owner,Diesel,5,188,Sedan,Agra,0,1
47,2011 Tata Manza Aqua Quadrajet,1800,2011,1248,Third Party,150000,First Owner,Diesel,5,188,Sedan,Agra,0,1
48,2017 Hyundai Grand i10 1.2 CRDi Sportz Option,5760,2017,1186,Third Party,20000,First Owner,Diesel,5,24,Hatchback,Agra,0,1
52,2014 Audi A4 2.0 TDI,14400,2014,1968,Third Party,30000,Second Owner,Diesel,5,1655,Sedan,Agra,1,0
53,2022 Hyundai i20 Sportz BSVI,9600,2022,1197,Third Party,10000,First Owner,Petrol,5,21,Hatchback,Agra,0,1
54,2012 Volkswagen Polo Diesel Trendline 1.2L,2400,2012,1199,Third Party,80000,Fifth Owner,Diesel,5,2207,Hatchback,Agra,0,1
55,2019 Maruti Vitara Brezza VDi,8880,2019,1248,Third Party,80000,Second Owner,Diesel,5,243,SUV,Agra,0,1
56,2009 Hyundai Santro Xing GLS,1800,2009,1086,Third Party,30000,First Owner,Petrol,5,1792,Hatchback,Agra,0,1
57,2016 Maruti Swift Dzire VDI,6240,2016,1248,Third Party,30000,First Owner,Diesel,5,2659,Sedan,Agra,0,1
58,2010 Hyundai i10 Sportz 1.2,2040,2010,1197,Third Party,80000,Third Owner,Petrol,5,2036,Hatchback,Agra,0,1
59,2021 Hyundai Venue S BSIV,8520,2021,1197,Third Party,30000,First Owner,Petrol,5,1752,SUV,Agra,0,1
60,2021 Skoda Rapid 1.0 TSI Onyx,11400,2021,999,Third Party,20000,First Owner,Petrol,5,1897,Sedan,Agra,0,1
61,2013 Ford Figo Diesel ZXI,2880,2013,1399,Third Party,70000,First Owner,Diesel,5,20,Hatchback,Agra,0,1
62,2021 Skoda Rapid 1.0 TSI Onyx,11160,2021,999,Third Party,20000,First Owner,Petrol,5,1897,Sedan,Agra,0,1
63,2022 MG Hector Plus Select Diesel MT 7 STR,23064,2022,1956,Third Party,20000,First Owner,Diesel,7,1656,SUV,Agra,0,1
64,2013 Hyundai EON D Lite,1800,2013,814,Third Party,50000,Second Owner,Petrol,5,211,Hatchback,Agra,0,1
65,2015 Hyundai Grand i10 Magna,4560,2015,1197,Third Party,30000,First Owner,Petrol,5,189,Hatchback,Agra,0,1
66,2021 Tata Punch Adventure BSVI,7080,2021,1199,Third Party,30000,First Owner,Petrol,5,2009,SUV,Agra,0,1
67,2016 Volkswagen Polo 1.5 TDI Comfortline,4800,2016,1498,Third Party,150000,First Owner,Diesel,5,2014,Hatchback,Agra,0,1
68,2013 Toyota Etios Liva GD,3600,2013,1364,Third Party,40000,First Owner,Diesel,5,2359,Hatchback,Agra,0,1
69,2017 Renault Duster 85PS Diesel RxE,6000,2017,1461,Third Party,120000,First Owner,Diesel,5,1987,SUV,Agra,0,1
70,2015 Maruti Alto 800 LXI,2520,2015,796,Third Party,20000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
71,2009 Maruti Wagon R LX Minor,1200,2009,998,Third Party,90000,Second Owner,Petrol,5,189,Hatchback,Agra,0,1
72,2015 Mahindra XUV500 W10 2WD,10800,2015,2179,Third Party,50000,First Owner,Diesel,7,16,SUV,Agra,0,1
73,2020 Kia Seltos HTX Diesel,16188,2020,1493,Third Party,70000,First Owner,Diesel,5,208,SUV,Agra,0,1
74,2019 Maruti Swift Dzire VDI,7800,2019,1248,Third Party,50000,First Owner,Diesel,5,284,Sedan,Agra,0,1
75,2019 Maruti Wagon R LXI,5700,2019,998,Third Party,20000,First Owner,Petrol,5,2179,Hatchback,Agra,0,1
76,2014 Nissan Terrano XE 85 PS,3840,2014,1461,Third Party,90000,Second Owner,Diesel,5,2045,SUV,Agra,0,1
77,2019 Maruti Swift Dzire VDI,7800,2019,1248,Third Party,50000,First Owner,Diesel,5,284,Sedan,Agra,0,1
78,2015 Hyundai Grand i10 Sportz,4440,2015,1197,Third Party,60000,Second Owner,Petrol,5,189,Hatchback,Agra,0,1
79,2009 Maruti Wagon R LXI Minor,1320,2009,1061,Third Party,90000,Second Owner,Petrol,5,189,Hatchback,Agra,0,1
81,2020 Ford Figo Titanium Diesel,6600,2020,1499,Third Party,60000,Second Owner,Diesel,5,244,Hatchback,Agra,0,1
82,2015 Honda Jazz 1.5 E i DTEC,4680,2015,1498,Third Party,90000,Second Owner,Diesel,5,273,Hatchback,Agra,0,1
83,2017 Hyundai i10 Magna 1.1L,3000,2017,1086,Third Party,20000,Second Owner,Petrol,5,1981,Hatchback,Agra,0,1
84,2013 Maruti Alto 800 VXI,2400,2013,796,Third Party,80000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
85,2022 Maruti Swift Dzire VXI BSVI,8700,2022,1197,Third Party,10000,First Owner,Petrol,5,2241,Sedan,Agra,0,1
86,2017 Honda Jazz 1.5 V i DTEC,5400,2017,1498,Third Party,110000,First Owner,Diesel,5,273,Hatchback,Agra,0,1
87,2017 Honda City i-DTEC ZX,9000,2017,1498,Third Party,120000,First Owner,Diesel,5,256,Sedan,Agra,0,1
88,2011 Toyota Etios Liva GD,2580,2011,1364,Third Party,70000,Third Owner,Diesel,5,2359,Hatchback,Agra,0,1
89,2013 Maruti Alto 800 VXI,2472,2013,796,Third Party,80000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
90,2015 Mahindra XUV500 W8 2WD,6600,2015,2179,Third Party,120000,First Owner,Diesel,7,16,SUV,Agra,0,1
91,2012 Maruti Wagon R LXI CNG,3000,2012,998,Third Party,150000,First Owner,CNG,5,262,Hatchback,Agra,0,1
92,2013 Maruti Alto 800 VXI,2520,2013,796,Third Party,80000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
93,2011 Toyota Etios V,3000,2011,1496,Third Party,70000,Second Owner,Petrol,5,176,Sedan,Agra,0,1
94,2016 Renault KWID RXL,2220,2016,799,Third Party,60000,Second Owner,Petrol,5,2517,Hatchback,Agra,0,1
95,2014 Hyundai Grand i10 Sportz,3600,2014,1197,Third Party,70000,Third Owner,Petrol,5,189,Hatchback,Agra,0,1
98,2013 Hyundai Grand i10 CRDi Sportz,3000,2013,1120,Third Party,100000,Second Owner,Diesel,5,24,Hatchback,Agra,0,1
99,2012 Maruti SX4 ZXI MT BSIV,2280,2012,1586,Third Party,120000,Second Owner,Petrol,5,155,Sedan,Agra,0,1
100,2019 Maruti Swift Dzire VXI 1.2,7800,2019,1197,Third Party,40000,First Owner,Petrol,5,2121,Sedan,Agra,0,1
102,2013 Honda Amaze E i-Dtech,2280,2013,1498,Third Party,120000,First Owner,Diesel,5,258,Sedan,Agra,0,1
103,2019 Maruti Baleno 1.2 Zeta,6840,2019,1197,Third Party,80000,Second Owner,Petrol,5,214,Hatchback,Agra,0,1
104,2014 Maruti Swift Dzire ZDI,4200,2014,1248,Third Party,80000,Second Owner,Diesel,5,234,Sedan,Agra,0,1
105,2014 Honda City i DTEC S,4560,2014,1498,Third Party,120000,Fourth Owner,Diesel,5,26,Sedan,Agra,0,1
106,2019 Maruti Vitara Brezza VDi,9360,2019,1248,Third Party,100000,First Owner,Diesel,5,243,SUV,Agra,0,1
107,2018 Renault KWID STD,2880,2018,799,Third Party,20000,First Owner,Petrol,5,2517,Hatchback,Agra,0,1
108,2021 Tata Nexon XM BSVI,10080,2021,1199,Third Party,10000,First Owner,Petrol,5,1733,SUV,Agra,0,1
109,2013 Ford Ecosport 1.5 DV5 MT Trend,3000,2013,1498,Third Party,100000,Second Owner,Diesel,5,227,SUV,Agra,0,1
110,2014 Maruti Swift VDI BSIV,4800,2014,1248,Third Party,100000,Second Owner,Diesel,5,252,Hatchback,Agra,0,1
111,2009 Maruti Wagon R LXI Minor,1800,2009,1061,Third Party,80000,First Owner,Petrol,5,189,Hatchback,Agra,0,1
112,2009 Tata Indica Aqua 1.3 Quadrajet,1200,2009,1248,Third Party,70000,Second Owner,Diesel,5,18,Hatchback,Agra,0,1
113,2020 Mahindra XUV500 W7,15300,2020,2179,Third Party,50000,First Owner,Diesel,7,151,SUV,Agra,0,1
114,2015 Datsun GO Plus T BSIV,3240,2015,1198,Third Party,30000,Second Owner,Petrol,7,1944,MUV,Agra,0,1
115,2020 Mahindra XUV500 W7,15300,2020,2179,Third Party,50000,First Owner,Diesel,7,151,SUV,Agra,0,1
116,2012 Chevrolet Beat Diesel,2640,2012,936,Third Party,70000,Second Owner,Diesel,5,2544,Hatchback,Agra,0,1
117,2017 Ford Aspire 1.5 TDCi Titanium,7200,2017,1498,Third Party,50000,First Owner,Diesel,5,2583,Sedan,Agra,0,1
118,2016 Mahindra XUV500 W4,10800,2016,2179,Third Party,50000,First Owner,Diesel,7,16,SUV,Agra,0,1
119,2019 Maruti Wagon R ZXI 1.2,5940,2019,1197,Third Party,20000,First Owner,Petrol,5,2052,Hatchback,Agra,0,1
120,2022 Mahindra XUV300 W8 Option AMT BSVI,11760,2022,1197,Third Party,60000,First Owner,Petrol,5,165,SUV,Agra,1,0
121,2019 Kia Seltos GTX DCT,16500,2019,1353,Third Party,20000,First Owner,Petrol,5,162,SUV,Agra,1,0
122,2015 Maruti Wagon R VXI BS IV,4080,2015,998,Third Party,40000,First Owner,Petrol,5,2051,Hatchback,Agra,0,1
123,2020 MG Hector Sharp DCT,15600,2020,1451,Third Party,40000,Second Owner,Petrol,5,1396,SUV,Agra,1,0
124,2019 Tata Nexon 1.2 Revotron XT,7200,2019,1198,Third Party,70000,First Owner,Petrol,5,17,SUV,Agra,0,1
125,2012 Honda Brio V MT,3600,2012,1198,Third Party,60000,First Owner,Petrol,5,194,Hatchback,Agra,0,1
126,2013 Renault Fluence Diesel E4,6000,2013,1461,Third Party,150000,Second Owner,Diesel,5,218,Sedan,Agra,0,1
127,2020 Toyota Yaris G Optional,13188,2020,1496,Third Party,40000,First Owner,Petrol,5,171,Sedan,Agra,0,1
128,2011 Honda City 1.5 V MT,4200,2011,1497,Third Party,90000,Second Owner,Petrol,5,17,Sedan,Agra,0,1
129,2019 Renault Triber RXL BSIV,5220,2019,999,Third Party,20000,First Owner,Petrol,7,20,MUV,Agra,0,1
130,2012 Maruti Wagon R LXI BS IV,2232,2012,998,Third Party,100000,Second Owner,Petrol,5,189,Hatchback,Agra,0,1
133,2012 Renault Duster 110PS Diesel RxZ,5400,2012,1461,Third Party,120000,Second Owner,Diesel,5,1901,SUV,Agra,0,1
134,2017 Hyundai i20 1.4 Asta,7800,2017,1396,Third Party,80000,First Owner,Diesel,5,2254,Hatchback,Agra,0,1
135,2018 Maruti Wagon R LXI CNG,4200,2018,998,Third Party,150000,First Owner,CNG,5,266,Hatchback,Agra,0,1
136,2009 Hyundai i10 Magna 1.2,1560,2009,1197,Third Party,50000,First Owner,Petrol,5,2036,Hatchback,Agra,0,1
137,2017 Maruti Swift VDI BSIV,6000,2017,1248,Third Party,70000,First Owner,Diesel,5,252,Hatchback,Agra,0,1
138,2021 Mahindra Bolero B6 Opt BSVI,11400,2021,1493,Third Party,10000,First Owner,Diesel,7,16,SUV,Agra,0,1
139,2017 Hyundai Creta 1.6 CRDi SX,8400,2017,1582,Third Party,120000,Third Owner,Diesel,5,1967,SUV,Agra,0,1
140,2009 Ford Fiesta 1.4 ZXi TDCi ABS,1680,2009,1399,Third Party,120000,Third Owner,Diesel,5,178,Sedan,Agra,0,1
141,2010 Tata New Safari DICOR 2.2 LX 4x2,2400,2010,2179,Third Party,120000,First Owner,Diesel,7,1157,SUV,Agra,0,1
142,2018 Renault KWID Climber 1.0 AMT,3840,2018,999,Third Party,20000,First Owner,Petrol,5,2404,Hatchback,Agra,1,0
143,2011 Hyundai i10 Magna,2400,2011,1197,Third Party,40000,First Owner,Petrol,5,2036,Hatchback,Agra,0,1
144,2015 Hyundai i20 Magna 1.2,4919,2015,1197,Third Party,90000,Second Owner,Petrol,5,186,Hatchback,Agra,0,1
145,2016 Maruti Swift VXI,5280,2016,1197,Third Party,30000,Second Owner,Petrol,5,2121,Hatchback,Agra,0,1
146,2022 Jeep Compass Model S DCT BSVI,30000,2022,1368,Third Party,20000,First Owner,Petrol,5,141,SUV,Agra,1,0
147,2019 Maruti Swift Dzire VXI 1.2,7800,2019,1197,Third Party,40000,First Owner,Petrol,5,2121,Sedan,Agra,0,1
148,2020 Toyota Glanza G,7560,2020,1197,Third Party,30000,First Owner,Petrol,5,2101,Hatchback,Agra,0,1
149,2012 Toyota Etios GD,2400,2012,1364,Third Party,150000,Fourth Owner,Diesel,5,2359,Sedan,Agra,0,1
151,2016 Honda Amaze S Diesel BSIV,4800,2016,1498,Third Party,150000,First Owner,Diesel,5,274,Sedan,Agra,0,1
152,2011 Chevrolet Beat LT,1800,2011,1199,Third Party,90000,First Owner,Petrol,5,186,Hatchback,Agra,0,1
153,2016 Honda Amaze E Diesel BSIV,5100,2016,1498,Third Party,150000,First Owner,Diesel,5,274,Sedan,Agra,0,1
154,2016 Maruti Swift Dzire VDI,5100,2016,1248,Third Party,80000,Second Owner,Diesel,5,2659,Sedan,Agra,0,1
155,2017 Maruti Swift Dzire VXI,4800,2017,1197,Third Party,70000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
156,2016 Maruti Swift VXI,5520,2016,1197,Third Party,30000,Second Owner,Petrol,5,2121,Hatchback,Agra,0,1
157,2017 Mahindra KUV 100 mFALCON D75 K8,3959,2017,1198,Third Party,70000,First Owner,Diesel,6,2532,SUV,Agra,0,1
158,2021 Nissan Magnite XE BSVI,5640,2021,999,Third Party,30000,First Owner,Petrol,5,1875,SUV,Agra,0,1
159,2018 Hyundai Creta 1.6 SX Automatic Diesel,13800,2018,1582,Third Party,70000,Second Owner,Diesel,5,176,SUV,Agra,1,0
160,2020 Maruti Ciaz Delta BSVI,8700,2020,1462,Third Party,60000,Second Owner,Petrol,5,2065,Sedan,Agra,0,1
161,2015 Hyundai i20 Active 1.4 SX,4800,2015,1396,Third Party,80000,Third Owner,Diesel,5,2119,Hatchback,Agra,0,1
162,2013 Hyundai Grand i10 CRDi Asta,3000,2013,1120,Third Party,150000,First Owner,Diesel,5,24,Hatchback,Agra,0,1
163,2022 MG Astor Sharp BSVI,17400,2022,1498,Third Party,40000,First Owner,Petrol,5,1543,SUV,Agra,0,1
164,2020 Hyundai i20 Sportz 1.2,8280,2020,1197,Third Party,40000,First Owner,Petrol,5,186,Hatchback,Agra,0,1
165,2015 Hyundai i20 Asta 1.2,4200,2015,1197,Third Party,120000,Fourth Owner,Petrol,5,186,Hatchback,Agra,0,1
167,2015 Hyundai i20 Asta 1.2,4200,2015,1197,Third Party,120000,Fourth Owner,Petrol,5,186,Hatchback,Agra,0,1
168,2015 Hyundai i20 Active 1.4 SX,4800,2015,1396,Third Party,80000,Third Owner,Diesel,5,2119,Hatchback,Agra,0,1
169,2013 Maruti Ertiga ZDI,5100,2013,1248,Third Party,80000,Third Owner,Diesel,7,2077,MUV,Agra,0,1
170,2014 Audi Q3 2.0 TDI Quattro Premium Plus,13200,2014,1968,Third Party,80000,Second Owner,Diesel,5,1573,SUV,Agra,1,0
171,2022 Tata Punch Pure Rhythm BSVI,7200,2022,1199,Third Party,10000,First Owner,Petrol,5,2009,SUV,Agra,0,1
172,2009 Hyundai i20 Magna,1800,2009,1197,Third Party,150000,Third Owner,Petrol,5,185,Hatchback,Agra,0,1
174,2011 Maruti Wagon R LXI CNG,1920,2011,998,Third Party,70000,Fourth Owner,CNG,5,262,Hatchback,Agra,0,1
175,2009 Hyundai i20 Magna,1680,2009,1197,Third Party,150000,Second Owner,Petrol,5,185,Hatchback,Agra,0,1
176,2011 Skoda Fabia 1.2 TDI Active Plus,1680,2011,1199,Third Party,90000,Third Owner,Diesel,5,2086,Hatchback,Agra,0,1
177,2021 Mahindra Thar LX 4-Str Hard Top Diesel BSVI,18000,2021,2184,Third Party,50000,Second Owner,Diesel,4,152,SUV,Agra,0,1
178,2011 Maruti Wagon R VXI BS IV,2700,2011,998,Third Party,60000,First Owner,Petrol,5,189,Hatchback,Agra,0,1
179,2019 Hyundai i20 Petrol Magna,6600,2019,1197,Third Party,40000,Second Owner,Petrol,5,186,Hatchback,Agra,0,1
180,2009 Maruti A-Star Vxi,1680,2009,998,Third Party,60000,First Owner,Petrol,5,19,Hatchback,Agra,0,1
181,2017 Maruti Wagon R LXI CNG,4800,2017,998,Third Party,20000,First Owner,CNG,5,266,Hatchback,Agra,0,1
182,2018 Hyundai Verna CRDi 1.6 SX Option,10800,2018,1582,Third Party,90000,First Owner,Diesel,5,22,Sedan,Agra,0,1
183,2010 Honda City 1.5 E MT,3780,2010,1497,Third Party,80000,First Owner,Petrol,5,17,Sedan,Agra,0,1
184,2013 Ford Ecosport 1.5 DV5 MT Trend,4200,2013,1498,Third Party,120000,First Owner,Diesel,5,227,SUV,Agra,0,1
185,2013 Hyundai EON D Lite Plus,1680,2013,814,Third Party,100000,Second Owner,Petrol,5,211,Hatchback,Agra,0,1
186,2021 Maruti Baleno Delta,8400,2021,1197,Third Party,30000,First Owner,Petrol,5,2101,Hatchback,Agra,0,1
187,2020 Toyota Urban cruiser Premium AT,10560,2020,1462,Third Party,50000,First Owner,Petrol,5,1876,SUV,Agra,1,0
188,2010 BMW 3 Series 320d,12000,2010,1995,Third Party,100000,Second Owner,Diesel,5,132,Sedan,Agra,1,0
189,2010 Maruti Swift VXI with ABS,2580,2010,1197,Third Party,120000,First Owner,Petrol,5,166,Hatchback,Agra,0,1
190,2013 Renault Duster 110PS Diesel RxZ,6000,2013,1461,Third Party,150000,First Owner,Diesel,5,1901,SUV,Agra,0,1
191,2012 Chevrolet Tavera 2 LS B4 7 Str BSIII,2880,2012,2499,Third Party,150000,Second Owner,Diesel,7,148,MUV,Agra,0,1
192,2016 Tata Zest Quadrajet 1.3 XM,3840,2016,1248,Third Party,90000,Third Owner,Diesel,5,23,Sedan,Agra,0,1
193,2012 Maruti Wagon R LXI BS IV,2400,2012,998,Third Party,150000,Third Owner,Petrol,5,189,Hatchback,Agra,0,1
194,2017 Maruti Wagon R LXI Optional,4800,2017,998,Third Party,30000,First Owner,Petrol,5,2051,Hatchback,Agra,0,1
195,2010 Maruti Ritz VDi,1500,2010,1248,Third Party,100000,Second Owner,Diesel,5,211,Hatchback,Agra,0,1
196,2018 Hyundai i20 1.2 Asta,6000,2018,1197,Third Party,50000,First Owner,Petrol,5,186,Hatchback,Agra,0,1
197,2017 Tata Tiago 1.05 Revotorq XT,4560,2017,1047,Third Party,70000,First Owner,Diesel,5,2728,Hatchback,Agra,0,1
198,2011 Chevrolet Beat Diesel,1800,2011,936,Third Party,80000,First Owner,Diesel,5,2544,Hatchback,Agra,0,1
199,2017 Hyundai Grand i10 1.2 CRDi Magna,6120,2017,1186,Third Party,60000,First Owner,Diesel,5,24,Hatchback,Agra,0,1
202,2015 Maruti Wagon R VXI BS IV,3000,2015,998,Third Party,50000,Third Owner,Petrol,5,2051,Hatchback,Agra,0,1
203,2015 Maruti Swift Dzire VDI,4800,2015,1248,Third Party,120000,Third Owner,Diesel,5,2659,Sedan,Agra,0,1
204,2012 Hyundai Verna 1.6 SX,4440,2012,1582,Third Party,90000,Second Owner,Diesel,5,2232,Sedan,Agra,0,1
206,2018 Audi Q3 30 TFSI Premium FWD,29760,2018,1395,Comprehensive,45000,Second Owner,Petrol,5,169,SUV,Gurgaon,1,0
207,2018 BMW 6 Series GT 630i Luxury Line 2018-2021,56280,2018,1998,Third Party,38000,First Owner,Petrol,4,1428,Sedan,Gurgaon,1,0
208,2015 Audi A6 35 TFSI Matrix,26279,2016,1798,Comprehensive,49000,Second Owner,Petrol,5,1526,Sedan,Gurgaon,1,0
209,2017 Audi A4 35 TDI Premium Plus,27480,2018,1968,Zero Dep,46000,Second Owner,Diesel,5,1825,Sedan,Gurgaon,1,0
210,2014 Audi Q3 35 TDI Quattro Premium Plus,16680,2014,1968,Comprehensive,29000,First Owner,Diesel,5,1573,SUV,Gurgaon,1,0
211,2016 Audi A4 30 TFSI Technology,33480,2018,1395,Comprehensive,27000,First Owner,Petrol,5,1784,Sedan,Gurgaon,1,0
212,2014 Mercedes-Benz E-Class E250 CDI,14280,2014,2143,Comprehensive,120000,Second Owner,Diesel,5,13,Sedan,Gurgaon,1,0
214,2012 Mercedes-Benz C-Class C 200 CGI Elegance,14280,2013,1796,Comprehensive,72100,First Owner,Petrol,5,1174,Sedan,Gurgaon,1,0
216,2018 Audi A3 35 TFSI Premium Plus,29880,2018,1395,Comprehensive,46300,First Owner,Petrol,5,192,Sedan,Gurgaon,1,0
218,2018 Audi Q3 35 TDI Quattro Premium Plus,25079,2018,1968,Comprehensive,38000,Second Owner,Diesel,5,1517,SUV,Gurgaon,1,0
219,2019 Audi A3 35 TFSI Premium Plus,32160,2019,1395,Comprehensive,26300,First Owner,Petrol,5,192,Sedan,Gurgaon,1,0
222,2019 Audi Q5 40 TDI Premium Plus,45359,2019,1968,Third Party,48500,First Owner,Diesel,5,1701,SUV,Gurgaon,1,0
223,2018 Audi A6 35 TDI,35760,2018,1968,Zero Dep,38000,First Owner,Diesel,5,1853,Sedan,Gurgaon,1,0
224,2013 Audi A4 1.8 TFSI Premium Plus,17880,2013,1798,Comprehensive,43800,First Owner,Petrol,5,1564,Sedan,Gurgaon,1,0
225,2022 Audi A6 45 TFSI Technology WO Matrix BSVI,77880,2022,1984,Zero Dep,2300,First Owner,Petrol,5,1411,Sedan,Gurgaon,1,0
226,2021 Audi A6 45 TFSI Technology WO Matrix BSVI,62280,2021,1984,Zero Dep,24800,First Owner,Petrol,5,1411,Sedan,Gurgaon,1,0
227,2020 Audi A6 45 TFSI Technology WO Matrix BSVI,57480,2020,1984,Zero Dep,36700,First Owner,Petrol,5,1411,Sedan,Gurgaon,1,0
228,2015 Audi A6 35 TFSI,25079,2015,1798,Comprehensive,79000,Second Owner,Petrol,5,1526,Sedan,Gurgaon,1,0
229,2017 Audi A3 35 TDI Premium Plus,23880,2017,1968,Zero Dep,55400,First Owner,Diesel,5,2038,Sedan,Gurgaon,1,0
